avg_burst_time,burst_time_variance,avg_priority,arrival_spread,label,scheduler
4.166666667,2.813657169,6.166666667,10,SJF,SJF
4.923076923,3.049881169,4.846153846,8,SJF,SJF
5.230769231,3.308586641,5.153846154,9,SJF,SJF
5.588235294,3.144721507,5.941176471,9,SJF,SJF
6,2.869720216,6.529411765,10,SJF,SJF
4.571428571,3.579989739,6.571428571,9,SJF,SJF
4.375,3.637908053,4,10,SJF,SJF
5.052631579,3.017033821,6.052631579,9,SJF,SJF
5.263157895,2.749968522,4,10,SJF,SJF
4.333333333,2.494438258,4.444444444,9,SJF,SJF
6.416666667,2.465033243,4.75,10,SJF,SJF
4.333333333,2.054804668,4.111111111,10,SJF,SJF
5.5,2.397915762,4.375,9,SJF,SJF
5.75,2.90473751,6.75,7,SJF,SJF
4.4,1.854723699,8.8,7,SJF,SJF
5.285714286,3.45229885,5.142857143,8,SJF,SJF
4.588235294,3.049760329,5.588235294,9,SJF,SJF
4.714285714,2.684042033,5.5,10,SJF,SJF
5.111111111,2.514157444,5.777777778,10,SJF,SJF
5.2,3.310589071,5.6,9,SJF,SJF
6.363636364,2.739367122,5.363636364,9,SJF,SJF
5.111111111,2.726187588,5.666666667,8,SJF,SJF
7,1.788854382,6.8,9,SJF,SJF
5.5,2.34520788,6.1875,9,SJF,SJF
5.705882353,2.606884683,5.882352941,10,SJF,SJF
6.0625,2.794386113,6.8125,10,SJF,SJF
4.285714286,1.868099547,7,9,SJF,SJF
4.45,2.991237202,6.2,9,SJF,SJF
4.714285714,2.490799396,6.428571429,10,SJF,SJF
5.833333333,2.733536578,4.333333333,9,SJF,SJF
5.15,2.885740806,5.6,10,SJF,SJF
7,2.672612419,5,10,SJF,SJF
4.583333333,2.253084306,5.083333333,10,SJF,SJF
5.631578947,2.832341905,5.157894737,10,SJF,SJF
4.333333333,3.109126351,5.944444444,8,SJF,SJF
5.411764706,2.590907711,4.176470588,10,SJF,SJF
4.428571429,2.969229956,6.285714286,10,SJF,SJF
6.090909091,2.574509502,4.909090909,10,SJF,SJF
4.2,2.587147722,4.733333333,9,SJF,SJF
5.4,2.653299832,6.2,9,SJF,SJF
6.5,2.236067977,6.75,9,SJF,SJF
5.294117647,2.92584238,6.176470588,10,SJF,SJF
5.352941176,2.888948037,4.235294118,9,SJF,SJF
5.333333333,2,4.111111111,8,SJF,SJF
4.2,2.561249695,5.6,8,SJF,SJF
6.133333333,2.848781416,3.933333333,9,SJF,SJF
4.333333333,2.896357866,4.333333333,10,SJF,SJF
6.875,2.758509561,7.5625,9,SJF,SJF
4.428571429,2.871393035,6.285714286,8,SJF,SJF
6,2.296241989,4.909090909,10,SJF,SJF
5.777777778,1.617802198,5.444444444,6,SJF,SJF
5.25,2.727178029,4.25,9,SJF,SJF
5.588235294,2.911616158,5.705882353,10,SJF,SJF
5.6,3.611094017,7,9,SJF,SJF
7.222222222,3.083208206,6.888888889,10,SJF,SJF
6.285714286,2.913725436,4.428571429,10,SJF,SJF
6.411764706,2.45090196,6.411764706,10,SJF,SJF
4.923076923,2.234744469,6.846153846,9,SJF,SJF
4.857142857,2.559496124,6.285714286,9,SJF,SJF
5.833333333,3.337497399,5.5,10,SJF,SJF
5,2.19089023,5.8,5,SJF,SJF
4.789473684,3.070726768,5.105263158,10,SJF,SJF
6.777777778,2.657391276,4.666666667,8,SJF,SJF
7,2.93257566,5.4,10,SJF,SJF
5.736842105,2.612562873,5.421052632,10,SJF,SJF
5.727272727,3.017853213,6.090909091,9,SJF,SJF
4.714285714,2.312344865,6.285714286,6,SJF,SJF
6.555555556,2.362254625,5.666666667,9,SJF,SJF
5.315789474,2.576260684,5,10,SJF,SJF
5.727272727,2.926086716,5.363636364,8,SJF,SJF
6,1.732050808,5.166666667,7,SJF,SJF
4.625,2.546443598,6.375,10,SJF,SJF
6.133333333,3.138293946,4.6,10,SJF,SJF
5.454545455,3.055952057,6.636363636,9,SJF,SJF
5,2.275185836,6.411764706,10,SJF,SJF
4.214285714,2.703927604,8.142857143,10,SJF,SJF
4.5625,3.353519606,4.875,10,SJF,SJF
6,3.201562119,4.375,7,SJF,SJF
6.181818182,3.128118279,6,10,SJF,SJF
3.909090909,2.842999231,6.272727273,8,SJF,SJF
5.277777778,2.804867903,6.722222222,10,SJF,SJF
5.5,3.556683849,4.9,10,SJF,SJF
6,2.803059553,4.428571429,9,SJF,SJF
5.444444444,2.871743996,6.388888889,10,SJF,SJF
5.333333333,2.321398046,5.25,10,SJF,SJF
4.666666667,3.399346342,3.222222222,5,SJF,SJF
5.8,3.350621833,5.666666667,10,SJF,SJF
5.8,3.059411708,4.2,9,SJF,SJF
6.5,2.578759392,5.6,9,SJF,SJF
5.352941176,2.399538595,5.176470588,10,SJF,SJF
5,3.082207001,7.375,7,SJF,SJF
6.4,2.835489376,5.7,9,SJF,SJF
6.428571429,3.310465779,4.857142857,10,SJF,SJF
5.882352941,2.398096131,4.470588235,9,SJF,SJF
4.25,2.817356917,6,10,SJF,SJF
4.8,3.155946768,6.8,10,SJF,SJF
5.333333333,3.091206165,5.166666667,10,SJF,SJF
6.25,2.106537443,5.25,6,SJF,SJF
7.75,2.165063509,6,9,SJF,SJF
4.111111111,2.469567863,3.444444444,9,SJF,SJF
6.769230769,2.965282349,5.615384615,9,SJF,SJF
5.8,2.039607805,6.2,6,SJF,SJF
5.153846154,2.931162905,4.769230769,10,SJF,SJF
4.5625,3.220418257,6.5625,9,SJF,SJF
6.444444444,3.353641838,3.611111111,10,SJF,SJF
4.375,1.316956719,5.75,10,SJF,SJF
5.266666667,2.862788074,6.333333333,10,SJF,SJF
5.333333333,2.624669291,6,8,SJF,SJF
5.833333333,2.671869924,5.666666667,10,SJF,SJF
8,1.870828693,4,10,SJF,SJF
3.833333333,2.30337916,4.666666667,9,SJF,SJF
5.875,2.847696437,6.5625,10,SJF,SJF
4.071428571,2.763648875,5,9,SJF,SJF
6.2,2.712931993,5,10,SJF,SJF
5.4,2.939387691,6.8,4,SJF,SJF
6.526315789,2.457393164,5.368421053,9,SJF,SJF
4.111111111,2.024540795,5.666666667,9,SJF,SJF
5.2,2.315167381,5.6,9,SJF,SJF
4.384615385,2.370928463,6.538461538,10,SJF,SJF
5.909090909,2.937362622,6.909090909,9,SJF,SJF
5.818181818,3.128118279,5.727272727,10,SJF,SJF
5,2.828427125,4.8,9,SJF,SJF
4.466666667,2.604269998,6.066666667,10,SJF,SJF
4.545454545,2.807899129,5.545454545,10,SJF,SJF
3.4,3.006659276,5.6,7,SJF,SJF
7,2.417882099,6.846153846,8,SJF,SJF
5.352941176,2.84793375,5.235294118,10,SJF,SJF
5.181818182,2.166613689,5.818181818,9,SJF,SJF
4.555555556,2.871743996,6.666666667,8,SJF,SJF
6.076923077,2.234744469,5.769230769,9,SJF,SJF
6.388888889,3.021016917,5.388888889,10,SJF,SJF
4.7,2.282542442,4.1,9,SJF,SJF
4.736842105,2.612562873,5.578947368,10,SJF,SJF
3.6,1.743559577,5.4,7,SJF,SJF
5,2.828427125,5.736842105,9,SJF,SJF
6.181818182,2.081004208,4.272727273,9,SJF,SJF
4.615384615,1.777572309,5,8,SJF,SJF
5,3.516196292,5.454545455,10,SJF,SJF
4.823529412,2.833316371,5.176470588,8,SJF,SJF
5.631578947,2.959561246,6.736842105,10,SJF,SJF
5.6,2.497999199,5.8,9,SJF,SJF
9,1.154700538,5,9,SJF,SJF
5.85,2.987892234,4.85,10,SJF,SJF
6,2.618614683,6.642857143,10,SJF,SJF
5.5,2.43241992,6,10,SJF,SJF
5.166666667,2.229848027,6.166666667,8,SJF,SJF
5.071428571,3.390412653,6.142857143,10,SJF,SJF
4.666666667,2.573367875,5.066666667,10,SJF,SJF
5.3,3.163858404,4.5,9,SJF,SJF
5.4,3.241398875,5.8,10,SJF,SJF
5.15,3.244610917,5.75,9,SJF,SJF
6,2.898275349,6.2,10,SJF,SJF
5.055555556,3.471666622,6.5,9,SJF,SJF
4.545454545,3.394209946,5.454545455,10,SJF,SJF
4.916666667,2.498610725,4.916666667,10,SJF,SJF
5.647058824,2.868514198,5.470588235,9,SJF,SJF
5.4,3.115552385,7.066666667,9,SJF,SJF
4.571428571,2.351725376,5.928571429,7,SJF,SJF
6.166666667,3.184162196,4.5,10,SJF,SJF
5.307692308,2.784147857,5.461538462,10,SJF,SJF
6.4,2.939387691,6.2,3,SJF,SJF
5.277777778,3.193840523,5.722222222,10,SJF,SJF
5.4375,2.474084427,4.4375,8,SJF,SJF
5.083333333,2.812422838,5.5,9,SJF,SJF
4.833333333,2.153807997,4.416666667,9,SJF,SJF
5.636363636,2.672170628,5.272727273,10,SJF,SJF
5,2.958039892,4.25,9,SJF,SJF
6.5,1.892969449,4,7,SJF,SJF
7.6,1.356465997,4.2,8,SJF,SJF
3.166666667,2.114762923,4.666666667,6,SJF,SJF
5.8125,2.6033332,6.375,10,SJF,SJF
6.75,2.618046345,5.333333333,10,SJF,SJF
3.631578947,2.619974414,5.736842105,10,SJF,SJF
6.444444444,2.671292284,6.555555556,6,SJF,SJF
5.944444444,2.990210365,5.333333333,9,SJF,SJF
6.157894737,3.013358991,5.315789474,8,SJF,SJF
4.941176471,3.2261904,5,9,SJF,SJF
5,2.558408596,5.818181818,9,SJF,SJF
5.733333333,2.515728302,5.533333333,8,SJF,SJF
5.842105263,3.34448734,6.947368421,9,SJF,SJF
5,3.505098328,6.571428571,5,SJF,SJF
6.3125,2.866154872,4.8125,10,SJF,SJF
4.125,2.803457687,7.25,9,SJF,SJF
7.142857143,1.958758457,4.571428571,7,SJF,SJF
7.166666667,1.950783318,6.666666667,7,SJF,SJF
5.388888889,2.965334699,5.333333333,10,SJF,SJF
7.2,2.039607805,5.3,9,SJF,SJF
5.625,2.825663639,5.25,8,SJF,SJF
5,2.28035085,5.4,10,SJF,SJF
5.75,2.453738644,6.75,9,SJF,SJF
4.705882353,2.269094297,5.470588235,9,SJF,SJF
5.7,2.794637722,6,9,SJF,SJF
6.55,2.201703886,5.65,10,SJF,SJF
6.6,2.107130751,4.7,10,SJF,SJF
5.875,2.803457687,5.125,9,SJF,SJF
6.555555556,2.79329002,5.222222222,9,SJF,SJF
5.833333333,2.852873795,5.166666667,5,SJF,SJF
4.875,2.087911636,5.6875,10,SJF,SJF
6.25,2.919046648,5.25,9,SJF,SJF
5.611111111,2.584975583,6.333333333,10,SJF,SJF
6.555555556,2.832788619,6.888888889,10,SJF,SJF
4.642857143,2.990631631,4.785714286,8,SJF,SJF
5.642857143,2.49591503,6.714285714,10,SJF,SJF
6,3.16227766,5.4,5,SJF,SJF
5.052631579,2.543799152,4.842105263,9,SJF,SJF
5.25,2.754541704,6.45,9,SJF,SJF
5.647058824,3.359642426,6.058823529,10,SJF,SJF
5.714285714,1.665986256,3.571428571,4,SJF,SJF
4.714285714,2.373321104,5.857142857,8,SJF,SJF
4.631578947,2.757010706,6,10,SJF,SJF
4.111111111,3.034777841,5.555555556,7,SJF,SJF
5.4,2.416609195,6.6,7,SJF,SJF
3.833333333,1.572330189,5.333333333,6,SJF,SJF
7.142857143,1.456862718,7.571428571,10,SJF,SJF
5.454545455,3.340213286,5.272727273,9,SJF,SJF
4.916666667,3.200477395,5.083333333,9,SJF,SJF
6.333333333,3.399346342,5.133333333,10,SJF,SJF
6.578947368,2.561163171,5.368421053,9,SJF,SJF
4.333333333,3.496029494,4.166666667,8,SJF,SJF
6,3.448026811,5.277777778,10,SJF,SJF
7.111111111,2.330686329,4.888888889,8,SJF,SJF
6.4,2.973213749,4.9,10,SJF,SJF
5.222222222,2.346523565,5.666666667,10,SJF,SJF
5,2.943920289,5.333333333,10,SJF,SJF
4.875,2.471714992,5.25,10,SJF,SJF
4.833333333,2.43241992,5.444444444,10,SJF,SJF
5.583333333,2.325880956,4.833333333,9,SJF,SJF
5.1,2.527844932,6.25,10,SJF,SJF
4.2,1.939071943,5.2,9,SJF,SJF
5.8,2.441311123,5.8,8,SJF,SJF
5.105263158,3.110165622,5.421052632,9,SJF,SJF
5.176470588,3.258207629,6.058823529,10,SJF,SJF
6.571428571,2.969229956,5.142857143,9,SJF,SJF
5.6875,3.076498619,5.375,10,SJF,SJF
6,2.722455639,5.529411765,10,SJF,SJF
3.4,0.489897949,7.4,8,SJF,SJF
6,2.563479778,5.428571429,9,SJF,SJF
5.666666667,2.52102272,5.933333333,10,SJF,SJF
4.615384615,2.167538893,6.076923077,8,SJF,SJF
3.25,2.727178029,4.5,9,SJF,SJF
4.785714286,1.819677029,5.571428571,9,SJF,SJF
4.6,2.847220867,4.8,10,SJF,SJF
5.222222222,2.779999112,6.666666667,10,SJF,SJF
4.8,2.785677655,7,5,SJF,SJF
5.6875,3.11686441,4.9375,10,SJF,SJF
5.833333333,2.692582404,3.833333333,10,SJF,SJF
4.727272727,3.305392539,6.818181818,10,SJF,SJF
4.666666667,2.748737084,5.8,10,SJF,SJF
5.705882353,2.885352581,6.117647059,10,SJF,SJF
3.375,1.653594569,5.25,8,SJF,SJF
6,2.28035085,5.4,9,SJF,SJF
6.285714286,2.630278949,5.428571429,9,SJF,SJF
5.6,2.817800561,5.85,10,SJF,SJF
5.444444444,2.45452467,6.777777778,9,SJF,SJF
4.947368421,2.723652428,5.263157895,10,SJF,SJF
7.2,3.42928564,5.4,10,SJF,SJF
6.571428571,3.087168969,4.785714286,8,SJF,SJF
5.777777778,2.148786623,4.777777778,9,SJF,SJF
4.625,3.533323506,7,8,SJF,SJF
5.052631579,2.665050295,6.526315789,10,SJF,SJF
5.166666667,3.05050087,4.75,10,SJF,SJF
6,2.886751346,5.25,10,SJF,SJF
5.75,3.381937315,4.125,8,SJF,SJF
7.2,2.925747768,4.4,9,SJF,SJF
4.833333333,2.608745974,3.75,10,SJF,SJF
5.526315789,2.279621877,4.526315789,9,SJF,SJF
5.333333333,3.299831646,4.333333333,9,SJF,SJF
6.090909091,3.315378642,5,9,SJF,SJF
7.285714286,2.312344865,4.857142857,7,SJF,SJF
5.421052632,2.681629306,5,9,SJF,SJF
6.4,3.2,7,9,SJF,SJF
5.416666667,2.984915781,6.083333333,8,SJF,SJF
6.333333333,2.624669291,3.5,9,SJF,SJF
7.285714286,2.312344865,6.571428571,7,SJF,SJF
6.166666667,3.236081306,4.333333333,10,SJF,SJF
5.285714286,3.534090536,4,4,SJF,SJF
5.5,1.707825128,6.5,5,SJF,SJF
5.375,2.735758579,4.6875,10,SJF,SJF
7.6,0.8,6.6,7,SJF,SJF
5.888888889,3.314763087,5.222222222,10,SJF,SJF
5.666666667,2.867441756,4.833333333,9,SJF,SJF
6.888888889,2.354402233,5.666666667,9,SJF,SJF
5.5,2.62202212,6.3125,9,SJF,SJF
4,3.098386677,5.6,10,SJF,SJF
5.2,2.925747768,6.4,6,SJF,SJF
7.375,3.199120973,6.25,9,SJF,SJF
6,3.496029494,7.333333333,8,SJF,SJF
4.090909091,2.712078889,5,6,SJF,SJF
5.714285714,2.432769481,7.357142857,9,SJF,SJF
5.333333333,2.134374746,4.166666667,10,SJF,SJF
4.857142857,3.356382893,5.571428571,6,SJF,SJF
6.25,3.418698583,5.5,8,SJF,SJF
6.0625,2.38402889,6.0625,10,SJF,SJF
5.307692308,2.492592576,5.923076923,10,SJF,SJF
5.15,3.102821297,4.6,9,SJF,SJF
5.555555556,2.266230895,4.888888889,10,SJF,SJF
4.4375,2.78318051,4.8125,9,SJF,SJF
5.454545455,2.499586743,5.363636364,7,SJF,SJF
5.666666667,3.109126351,5.666666667,10,SJF,SJF
5.5625,2.397101114,4.5625,9,SJF,SJF
6.166666667,2.114762923,4.166666667,6,SJF,SJF
4.357142857,2.467130863,5.214285714,7,SJF,SJF
7,1.490711985,6.222222222,9,SJF,SJF
5.411764706,2.870925728,5.529411765,10,SJF,SJF
6.125,2.619040855,5.75,10,SJF,SJF
4.083333333,2.928547232,5.416666667,9,SJF,SJF
6.1,2.507987241,5.5,8,SJF,SJF
6.375,2.891258377,5.9375,9,SJF,SJF
3.125,2.260392665,5.875,10,SJF,SJF
6.25,2.861380786,5.8,10,SJF,SJF
5.444444444,3.059088866,5.666666667,7,SJF,SJF
3.5,2.140872096,7.166666667,7,SJF,SJF
5.583333333,2.465033243,5.333333333,10,SJF,SJF
6.1875,2.674386612,4.9375,9,SJF,SJF
6.111111111,3.36466754,4.888888889,10,SJF,SJF
5.555555556,2.671292284,7.333333333,10,SJF,SJF
7.090909091,3.088234137,5.636363636,10,SJF,SJF
5.5625,2.691856933,5.625,9,SJF,SJF
4.6875,3.367468448,4.5,10,SJF,SJF
5.25,2.313907229,5.5,10,SJF,SJF
4.583333333,2.984915781,6.75,9,SJF,SJF
5.181818182,2.854603358,4.727272727,9,SJF,SJF
4.666666667,2.40370085,5.111111111,8,SJF,SJF
5.142857143,3.043896536,5.142857143,8,SJF,SJF
6.25,2.890357533,6.833333333,10,SJF,SJF
6.3,2.60959767,4.3,10,SJF,SJF
6.866666667,2.33428552,6.066666667,9,SJF,SJF
5,2.633122354,6.133333333,10,SJF,SJF
6.357142857,2.818488522,5.571428571,9,SJF,SJF
4.75,2.680951324,4.666666667,9,SJF,SJF
6.454545455,2.189380833,6.363636364,8,SJF,SJF
4.125,1.899835519,6.125,10,SJF,SJF
4.545454545,3.394209946,6.636363636,7,SJF,SJF
6,3.31662479,4.9375,9,SJF,SJF
5.933333333,2.862788074,5.933333333,10,SJF,SJF
6.272727273,3.193485104,4.181818182,9,SJF,SJF
5.214285714,3.488318699,6.642857143,8,SJF,SJF
5.05,3.089902911,5.75,10,SJF,SJF
4.9,2.87923601,5.9,9,SJF,SJF
7,2.236067977,4.944444444,10,SJF,SJF
6.833333333,2.477678125,3.666666667,5,SJF,SJF
5.666666667,2.718251072,6.25,10,SJF,SJF
6.5,2.783882181,5.166666667,7,SJF,SJF
5.5,3.106444913,5.3,9,SJF,SJF
4.555555556,2.31474074,7,9,SJF,SJF
6.214285714,2.703927604,4.214285714,10,SJF,SJF
5.6,2.870540019,5.2,3,SJF,SJF
5.625,2.496873044,4.75,8,SJF,SJF
4,2.044949433,4.545454545,10,SJF,SJF
5.5,2.254624876,4.583333333,10,SJF,SJF
5.529411765,2.810016685,5,10,SJF,SJF
6.2,2.4,5.35,10,SJF,SJF
4.714285714,2.710523709,6.142857143,7,SJF,SJF
5.583333333,2.564447092,5.166666667,8,SJF,SJF
4.764705882,2.462170534,5.588235294,9,SJF,SJF
5.65,2.056088519,4.95,9,SJF,SJF
4.421052632,2.70118472,5.052631579,10,SJF,SJF
7,3.041381265,4.9375,9,SJF,SJF
4.6,4.029888336,4.2,7,SJF,SJF
5.647058824,2.448076711,4.117647059,10,SJF,SJF
6.6875,2.844265063,4.375,9,SJF,SJF
5.111111111,2.377881618,4.777777778,7,SJF,SJF
5.555555556,2.671292284,5.5,9,SJF,SJF
5.157894737,2.700159019,5.631578947,10,SJF,SJF
4.625,3.059309563,6.4375,9,SJF,SJF
6.470588235,2.810016685,4.588235294,10,SJF,SJF
6.272727273,3.017853213,5.454545455,7,SJF,SJF
4.833333333,3.023059525,4.833333333,4,SJF,SJF
7.25,2.436698586,4.75,9,SJF,SJF
7.2,2.481934729,5.2,9,SJF,SJF
5.9,2.808914381,5.8,10,SJF,SJF
3.333333333,1.374368542,7,4,SJF,SJF
5.15,2.743628984,4.7,9,SJF,SJF
5.666666667,2.013840996,3.916666667,9,SJF,SJF
6.2,2.063976744,5.5,10,SJF,SJF
6.555555556,2.832788619,5.777777778,9,SJF,SJF
4.277777778,2.49010387,6.666666667,9,SJF,SJF
5.2,2.481934729,4.6,9,SJF,SJF
5.529411765,3.127066791,4.705882353,9,SJF,SJF
4.588235294,2.45090196,5.294117647,10,SJF,SJF
5.166666667,2.409472049,5.5,5,SJF,SJF
6.888888889,2.685121327,5.111111111,10,SJF,SJF
5,2.720294102,4.8,10,SJF,SJF
7,2.730301349,5.454545455,10,SJF,SJF
6,2.976095237,3.142857143,9,SJF,SJF
5.1,2.211334439,6.7,8,SJF,SJF
6.2,2.4,5.4,7,SJF,SJF
5.384615385,3.076923077,7.307692308,9,SJF,SJF
4.75,2.817356917,5.75,8,SJF,SJF
5.705882353,3.477062754,6.352941176,8,SJF,SJF
6.684210526,2.92093409,6,10,SJF,SJF
6.230769231,3.238086951,5.461538462,10,SJF,SJF
4.9,3.128897569,4.85,10,SJF,SJF
6.666666667,2.867441756,5,9,SJF,SJF
5.882352941,2.762827898,5.882352941,10,SJF,SJF
4,2.828427125,5,6,SJF,SJF
7.363636364,2.422347744,7.181818182,10,SJF,SJF
4.736842105,2.749968522,6.263157895,10,SJF,SJF
5.2,2.227105745,5.2,10,SJF,SJF
5.5,2.872281323,6.4,10,SJF,SJF
4.444444444,1.640535896,5.333333333,7,SJF,SJF
6.083333333,3.35306659,5.083333333,9,SJF,SJF
5.615384615,2.095359765,6,9,SJF,SJF
5.285714286,2.547507786,4.928571429,10,SJF,SJF
6,3.333333333,5.777777778,10,SJF,SJF
6.578947368,2.996766494,6.157894737,9,SJF,SJF
6,3.047247001,5.214285714,9,SJF,SJF
4.6,2.576819745,4.4,8,SJF,SJF
4.55,2.479415254,5.35,10,SJF,SJF
5.333333333,3.12694384,6.333333333,10,SJF,SJF
5.846153846,2.87819799,4.615384615,7,SJF,SJF
7.625,2.446298224,6.25,8,SJF,SJF
5.05,3.55633238,4.7,9,SJF,SJF
5.611111111,2.927624917,4.388888889,9,SJF,SJF
5.611111111,2.669558617,4.944444444,7,SJF,SJF
6,2.763397119,4.636363636,10,SJF,SJF
5.764705882,3.387336482,5,9,SJF,SJF
5.714285714,2.373321104,6,7,SJF,SJF
5.470588235,2.592242887,5.647058824,10,SJF,SJF
5.8,2.712931993,6,6,SJF,SJF
5.875,2.521780125,6.75,10,SJF,SJF
5.272727273,2.299838298,7.545454545,10,SJF,SJF
5.4,2.709243437,5.35,10,SJF,SJF
4.333333333,2.581988897,3.888888889,10,SJF,SJF
7.461538462,3.177211758,5.846153846,10,SJF,SJF
